"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2019","1.1191","1.1316","1.1328","1.1184","18.92K","-1.12%"
"Mar 06, 2019","1.1318","1.1314","1.1336","1.1295","10.12K","0.03%"
"Mar 05, 2019","1.1315","1.1349","1.1351","1.1301","11.22K","-0.26%"
"Mar 04, 2019","1.1344","1.1389","1.1393","1.1321","9.68K","-0.25%"
"Mar 01, 2019","1.1372","1.1389","1.1423","1.1367","11.24K","-0.19%"
"Feb 28, 2019","1.1394","1.1388","1.1440","1.1374","13.94K","0.05%"
"Feb 27, 2019","1.1388","1.1411","1.1421","1.1375","9.75K","-0.25%"
"Feb 26, 2019","1.1416","1.1378","1.1421","1.1364","12.70K","0.27%"
"Feb 25, 2019","1.1385","1.1345","1.1388","1.1344","8.26K","0.23%"
"Feb 22, 2019","1.1359","1.1356","1.1377","1.1336","8.59K","0.01%"
"Feb 21, 2019","1.1358","1.1366","1.1390","1.1340","12.51K","-0.15%"
"Feb 20, 2019","1.1375","1.1363","1.1395","1.1349","11.22K","0.08%"
"Feb 19, 2019","1.1366","1.1323","1.1383","1.1300","19.01K","0.26%"
"Feb 18, 2019","1.1337","1.1321","1.1360","1.1320","-","0.14%"
"Feb 17, 2019","1.1321","1.1323","1.1324","1.1316","-","-0.01%"
"Feb 15, 2019","1.1322","1.1323","1.1333","1.1262","9.86K","-0.06%"
"Feb 14, 2019","1.1329","1.1286","1.1337","1.1277","12.21K","0.25%"
"Feb 13, 2019","1.1301","1.1361","1.1374","1.1291","11.05K","-0.55%"
"Feb 12, 2019","1.1364","1.1308","1.1372","1.1290","10.47K","0.49%"
"Feb 11, 2019","1.1309","1.1353","1.1363","1.1300","8.84K","-0.42%"
"Feb 08, 2019","1.1357","1.1375","1.1384","1.1355","7.33K","-0.25%"
"Feb 07, 2019","1.1386","1.1402","1.1404","1.1359","9.54K","-0.14%"
"Feb 06, 2019","1.1402","1.1444","1.1447","1.1398","9.38K","-0.41%"
"Feb 05, 2019","1.1449","1.1476","1.1480","1.1440","9.68K","-0.20%"
"Feb 04, 2019","1.1472","1.1497","1.1501","1.1465","6.09K","-0.26%"
"Feb 01, 2019","1.1502","1.1490","1.1531","1.1476","12.21K","0.13%"
