"Date","Price","Open","High","Low","Vol.","Change %"
"07/09/2002","990.23","1,015.27","1,023.38","989.34","","-2.38%"
"07/08/2002","1,014.33","1,051.27","1,066.28","1,008.78","","-4.39%"
"07/05/2002","1,060.89","1,018.63","1,061.05","1,018.63","","6.55%"
"07/03/2002","995.68","957.26","995.95","950.33","","3.32%"
"07/02/2002","963.66","989.25","993.99","961.76","","-3.46%"
"07/01/2002","998.17","1,044.48","1,049.88","997.97","","-5.06%"
"06/28/2002","1,051.41","1,047.56","1,074.73","1,042.84","","0.07%"
"06/27/2002","1,050.64","1,048.54","1,050.68","1,009.05","","2.28%"
"06/26/2002","1,027.22","979.87","1,035.53","979.87","","0.44%"
"06/25/2002","1,022.74","1,070.62","1,073.53","1,017.71","","-3.30%"
"06/24/2002","1,057.68","1,023.06","1,075.63","1,014.76","","2.13%"
"06/21/2002","1,035.63","1,051.80","1,074.77","1,031.95","","-2.52%"
"06/20/2002","1,062.45","1,094.53","1,102.72","1,058.01","","-3.20%"
"06/19/2002","1,097.54","1,129.32","1,133.96","1,095.76","","-3.60%"
"06/18/2002","1,138.47","1,139.52","1,163.46","1,138.31","","-0.99%"
"06/17/2002","1,149.91","1,126.54","1,154.18","1,123.10","","3.63%"
"06/14/2002","1,109.60","1,078.69","1,112.37","1,055.57","","0.28%"
"06/13/2002","1,106.54","1,117.22","1,133.25","1,100.34","","-1.50%"
"06/12/2002","1,123.34","1,092.45","1,123.78","1,079.28","","2.03%"
"06/11/2002","1,100.97","1,148.72","1,151.30","1,100.59","","-3.05%"
"06/10/2002","1,135.62","1,142.51","1,155.76","1,132.12","","-0.41%"
"06/07/2002","1,140.24","1,107.94","1,156.03","1,106.61","","-1.50%"
"06/06/2002","1,157.62","1,183.91","1,185.29","1,152.04","","-3.18%"
"06/05/2002","1,195.60","1,182.74","1,196.67","1,165.02","","1.43%"
"06/04/2002","1,178.80","1,155.81","1,191.13","1,151.16","","1.70%"
